id,system,brand,name,address.str,address.lat,address.lon
3,11,bike_itau,P01 - Andrés Bello / Gral. Holley,"General Holley 41, esquina sur oriente con A. Bello","-33,41935","-70,60962"
4,11,bike_itau,P02 - Italia / Marín,"Italia 980, esquina NO con Marín","-33,44393","-70,62565"
5,11,bike_itau,P03 - Suecia / El Vergel,"El Vergel 2316, esquina NO con Suecia","-33,43282","-70,60363"
6,11,bike_itau,P04 - Costanera Center 1,"Nueva Tobalaba 12, Vereda Poniente frente a Costanera Center","-33,41717","-70,60550"
7,11,bike_itau,P05 - Costanera Center 2,"Nueva Tobalaba 12, junto a ciclovía","-33,41705","-70,60497"
8,11,bike_itau,P06 - Duoc (Antonio Varas),Federico Froebel / Antonio Varas,"-33,43347","-70,61503"
10,11,bike_itau,P08 - Metro Colón,"Tobalaba 1381, Vereda Poniente","-33,42651","-70,59106"
11,11,bike_itau,P09 - Metro Francisco Bilbao,"Tobalaba 1913, en sector norte de Parque Augusto Errázuriz","-33,43076","-70,58627"
12,11,bike_itau,P10 - Metro Manuel Montt,"Av. Providencia 1309, vereda Sur","-33,42867","-70,61984"
13,11,bike_itau,P11 - Metro Parque Bustamante,"Ramon Carnicer con Bilbao, esquina SO","-33,44304","-70,63198"
14,11,bike_itau,P12 - Puente Pedro de Valdivia,Francisco Noguera 217,"-33,42236","-70,61450"
15,11,bike_itau,P13 - Metro Pedro de Valdivia,"Av. Providencia 1914, junto a salida sur de metro Pedro de Valdivia","-33,42547","-70,61352"
17,11,bike_itau,P15 - Manuel Montt / Andrés Bello,Manuel Montt 0192,"-33,42761","-70,62222"
18,11,bike_itau,P16 - Metro Salvador,"Providencia 753, al costado de salida Poniente de metro Salvador","-33,43243","-70,62587"
19,11,bike_itau,P17 - Metro Santa Isabel,"Sta Isabel 53, en estacionamiento del costado Sur de la calle","-33,44725","-70,63092"
20,11,bike_itau,P18 - Metro Tobalaba,"Hernando de Aguirre 128, Vereda Oriente","-33,41858","-70,60134"
21,11,bike_itau,P19 - Municipalidad Providencia,"Marchant Pereira 880, vereda Oriente","-33,43269","-70,61135"
22,11,bike_itau,P20 - Nueva Los Leones,"Nueva Los Leones 5-7, vereda al norte de Calle Vitacura","-33,41971","-70,60618"
23,11,bike_itau,P21 - Patio Bellavista,"Constitución 27, costado Oriente de la calle","-33,43417","-70,63446"
24,11,bike_itau,P22 - Plaza Loreto Cousiño,Juan de Dios Vial 1250,"-33,42838","-70,59484"
25,11,bike_itau,P23 - Metro Inés de Suarez,Plaza Pedro de Valdivia 1764,"-33,43857","-70,60657"
26,11,bike_itau,P24 - Plaza Río De Janeiro,"Augusto Ovalle Castillo 1360, esquina con Pocuro, esquina NP, en la plaza","-33,43237","-70,59385"
27,11,bike_itau,P25 - Bilbao / Ricardo Lyon,Av. Francisco Bilbao 2223,"-33,43770","-70,60375"
28,11,bike_itau,P26 - Mar del Plata / Ricardo Lyon,Mar del Plata 2171,"-33,43243","-70,60604"
29,11,bike_itau,P27 - Ricardo Lyon / Lota,"Coyancura 2200, vereda Poniente cerca de esquina con Lyon","-33,42400","-70,60891"
30,11,bike_itau,P28 - Ricardo Lyon / Pocuro,"Pocuro 2201, vereda Norte","-33,43533","-70,60463"
31,11,bike_itau,P29 - Santa Isabel /Ana Luisa Prats,"Ana Luisa Prats 1001, lado Norte","-33,44533","-70,61776"
32,11,bike_itau,P30 - Lo Contador,"Monseñor Carlos Casanueva 0335, vereda Poniente","-33,42019","-70,61815"
33,11,bike_itau,P32 - Valenzuela Castillo / Miguel Claro,Valenzuela Castillo / Miguel Claro,"-33,43549","-70,61937"
36,11,bike_itau,P37 - Obispo Salas,Obispo Salas 359,"-33,43744","-70,62798"
37,11,bike_itau,P44 - Andres Bello / Padre Mariano,Padre Mariano 391,"-33,42352","-70,61862"
39,11,bike_itau,P49 - Fco Bilbao / Román Díaz,Román Díaz 1061,"-33,43991","-70,61979"
40,11,bike_itau,P52 - Holanda / Pocuro,Holanda 1709,"-33,43426","-70,59949"
41,11,bike_itau,P53 - Plaza Inés de Suarez,Regimiento Cazadores 1193,"-33,43721","-70,61159"
42,11,bike_itau,P55 - Pérez Valenzuela,Pérez Valenzuela 1548,"-33,42520","-70,61982"
43,11,bike_itau,S11 - Metro Toesca,General Las Heras 6,"-33,45279","-70,65765"
